"game_id","league","period","event_num","clock","description","locX","locY","opt1","opt2","event_action_type","event_type","team_id","offense_team_id","player1_id","player2_id","player3_id","home_score","away_score","order"
"0042100305","NBA",1,2,"12:00","Start Period",0,-80,0,0,0,12,0,0,0,NA,NA,0,0,20000
"0042100305","NBA",1,4,"11:56","Jump Ball Williams III vs Williams III (Tucker gains possession)",0,-80,0,0,0,10,1610612748,1610612748,1629057,200782,1629057,0,0,60000
"0042100305","NBA",1,7,"11:35","[MIA] Butler Driving Floating Jump Shot: Missed",50,71,2,0,101,2,1610612748,1610612748,202710,NA,NA,0,0,70000
"0042100305","NBA",1,8,"11:33","[MIA] Tucker Rebound (Off:1 Def:0)",50,71,1,0,0,4,1610612748,1610612748,200782,NA,NA,0,0,80000
"0042100305","NBA",1,9,"11:29","[MIA] Lowry 3pt Shot: Missed",4,255,3,0,1,2,1610612748,1610612748,200768,NA,NA,0,0,90000
"0042100305","NBA",1,10,"11:29","[BOS] Horford Rebound (Off:0 Def:1)",4,255,0,0,0,4,1610612738,1610612748,201143,NA,NA,0,0,100000
"0042100305","NBA",1,11,"11:13","[BOS] Brown Turnaround Fadeaway shot: Missed",54,59,2,0,86,2,1610612738,1610612738,1627759,NA,NA,0,0,110000
"0042100305","NBA",1,12,"11:11","[MIA] Butler Rebound (Off:0 Def:1)",54,59,0,0,0,4,1610612748,1610612738,202710,NA,NA,0,0,120000
"0042100305","NBA",1,13,"10:55","[MIA] Strus 3pt Shot: Missed",-216,137,3,0,79,2,1610612748,1610612748,1629622,NA,NA,0,0,130000
"0042100305","NBA",1,14,"10:53","[MIA] Tucker Rebound (Off:2 Def:0)",-216,137,1,0,0,4,1610612748,1610612748,200782,NA,NA,0,0,140000
"0042100305","NBA",1,15,"10:51","[BOS] Brown Foul: Personal (1 PF) (M Davis)",-174,51,0,0,1,6,1610612738,1610612748,1627759,NA,200782,0,0,150000
"0042100305","NBA",1,17,"10:39","[MIA] Butler Pullup Jump shot: Missed",178,10,2,0,79,2,1610612748,1610612748,202710,NA,NA,0,0,170000
"0042100305","NBA",1,18,"10:37","[BOS] Williams III Rebound (Off:0 Def:1)",178,10,0,0,0,4,1610612738,1610612748,1629057,NA,NA,0,0,180000
"0042100305","NBA",1,19,"10:11","[BOS] Tatum 3pt Shot: Missed",-214,162,3,0,1,2,1610612738,1610612738,1628369,NA,NA,0,0,190000
"0042100305","NBA",1,20,"10:09","[MIA] Strus Rebound (Off:0 Def:1)",-214,162,0,0,0,4,1610612748,1610612738,1629622,NA,NA,0,0,200000
"0042100305","NBA",1,21,"10:04","[MIA] Butler Cutting Layup Shot: Missed",17,14,2,1,98,2,1610612748,1610612748,202710,NA,NA,0,0,210000
"0042100305","NBA",1,22,"10:02","[BOS] Brown Rebound (Off:0 Def:1)",17,14,0,0,0,4,1610612738,1610612748,1627759,NA,NA,0,0,220000
"0042100305","NBA",1,23,"09:40","[BOS] Horford Jump Bank Shot: Missed",60,41,2,0,66,2,1610612738,1610612738,201143,NA,NA,0,0,230000
"0042100305","NBA",1,24,"09:38","[BOS] Williams III Rebound (Off:1 Def:1)",60,41,1,0,0,4,1610612738,1610612738,1629057,NA,NA,0,0,240000
"0042100305","NBA",1,25,"09:37","[BOS 2-0] Williams III Putback Layup Shot: Made (2 PTS)",9,17,2,0,72,1,1610612738,1610612738,1629057,NA,NA,0,2,250000
"0042100305","NBA",1,26,"09:13","[MIA] Butler Step Back Jump shot: Missed",158,51,2,0,80,2,1610612748,1610612748,202710,NA,NA,0,2,260000
"0042100305","NBA",1,27,"09:10","[BOS] Horford Rebound (Off:0 Def:2)",158,51,0,0,0,4,1610612738,1610612748,201143,NA,NA,0,2,270000
"0042100305","NBA",1,28,"09:04","[BOS 4-0] Williams III Layup Shot: Made (4 PTS) Assist: Smart (1 AST)",-15,10,2,0,5,1,1610612738,1610612738,1629057,203935,NA,0,4,280000
"0042100305","NBA",1,30,"08:49","[BOS] Smart Foul: Personal (1 PF) (M Davis)",190,74,0,0,1,6,1610612738,1610612748,203935,NA,200768,0,4,300000
"0042100305","NBA",1,32,"08:36","[MIA 2-4] Butler Driving Layup Shot: Made (2 PTS) Assist: Strus (1 AST)",-9,14,2,0,6,1,1610612748,1610612748,202710,1629622,NA,2,4,320000
"0042100305","NBA",1,34,"08:18","[MIA] Butler Foul: Shooting (1 PF) (2 FTA) (M Davis)",-27,5,0,0,2,6,1610612748,1610612738,202710,NA,1628369,2,4,340000
"0042100305","NBA",1,36,"08:18","[BOS] Tatum Free Throw 1 of 2 Missed",0,-80,2,0,11,3,1610612738,1610612738,1628369,NA,NA,2,4,360000
"0042100305","NBA",1,37,"08:18","[BOS] Team Rebound",0,-80,1,0,1,4,1610612738,1610612738,0,NA,NA,2,4,360001
"0042100305","NBA",1,38,"08:18","[BOS 5-2] Tatum Free Throw 2 of 2 (1 PTS)",0,-80,1,0,12,3,1610612738,1610612738,1628369,NA,NA,2,5,380000
"0042100305","NBA",1,39,"08:09","[BOS] Smart Foul: Personal (2 PF) (J Tiven)",-161,246,0,0,1,6,1610612738,1610612748,203935,NA,1628389,2,5,390000
"0042100305","NBA",1,41,"08:09","[BOS] Smart Substitution replaced by White",0,-80,0,0,0,8,1610612738,1610612748,203935,1628401,NA,2,5,410000
"0042100305","NBA",1,43,"07:55","[MIA] Tucker 3pt Shot: Missed",-234,15,3,0,80,2,1610612748,1610612748,200782,NA,NA,2,5,430000
"0042100305","NBA",1,44,"07:51","[BOS] Williams III Rebound (Off:1 Def:2)",-234,15,0,0,0,4,1610612738,1610612748,1629057,NA,NA,2,5,440000
"0042100305","NBA",1,45,"07:42","[BOS] Brown Step Back Jump shot: Missed",-75,180,2,0,80,2,1610612738,1610612738,1627759,NA,NA,2,5,450000
"0042100305","NBA",1,46,"07:39","[MIA] Tucker Rebound (Off:2 Def:1)",-75,180,0,0,0,4,1610612748,1610612738,200782,NA,NA,2,5,460000
"0042100305","NBA",1,47,"07:23","[MIA] Lowry Turnover : Out of Bounds - Bad Pass Turnover (1 TO)",-53,266,0,0,45,5,1610612748,1610612748,200768,NA,NA,2,5,470000
"0042100305","NBA",1,48,"07:09","[BOS 7-2] White Floating Jump shot: Made (2 PTS) Assist: Tatum (1 AST)",-16,60,2,0,78,1,1610612738,1610612738,1628401,1628369,NA,2,7,480000
"0042100305","NBA",1,50,"06:47","[MIA 4-7] Adebayo Driving Reverse Layup Shot: Made (2 PTS)",-15,17,2,0,73,1,1610612748,1610612748,1628389,NA,NA,4,7,500000
"0042100305","NBA",1,51,"06:36","[BOS] Horford 3pt Shot: Missed",-224,49,3,0,1,2,1610612738,1610612738,201143,NA,NA,4,7,510000
