"game_id","league","period","event_num","clock","description","locX","locY","opt1","opt2","event_action_type","event_type","team_id","offense_team_id","player1_id","player2_id","player3_id","home_score","away_score","order"
"0042100405","NBA",1,2,"12:00","Start Period",0,-80,0,0,0,12,0,0,0,NA,NA,0,0,20000
"0042100405","NBA",1,4,"11:58","Jump Ball Green vs Williams III (Porter Jr. gains possession)",0,-80,0,0,0,10,1610612744,1610612744,203110,203490,1629057,0,0,60000
"0042100405","NBA",1,7,"11:42","[GSW 2-0] Porter Jr. Cutting Layup Shot: Made (2 PTS) Assist: Green (1 AST)",42,25,2,0,98,1,1610612744,1610612744,203490,203110,NA,2,0,70000
"0042100405","NBA",1,9,"11:27","[BOS] Tatum Turnover : Out of Bounds - Bad Pass Turnover (1 TO)",-100,114,0,0,45,5,1610612738,1610612738,1628369,NA,NA,2,0,90000
"0042100405","NBA",1,10,"11:10","[GSW] Green 3pt Shot: Missed",-235,0,3,0,1,2,1610612744,1610612744,203110,NA,NA,2,0,100000
"0042100405","NBA",1,11,"11:07","[BOS] Horford Rebound (Off:0 Def:1)",-235,0,0,0,0,4,1610612738,1610612744,201143,NA,NA,2,0,110000
"0042100405","NBA",1,12,"10:49","[BOS 2-2] Brown Fadeaway Jump Shot: Made (2 PTS)",-2,122,2,0,63,1,1610612738,1610612738,1627759,NA,NA,2,2,120000
"0042100405","NBA",1,13,"10:33","[GSW 4-2] Wiggins Jump Bank Shot: Made (2 PTS) Assist: Thompson (1 AST)",64,6,2,0,66,1,1610612744,1610612744,203952,202691,NA,4,2,130000
"0042100405","NBA",1,15,"10:19","[GSW] Green Foul: Personal (1 PF) (T Brothers)",-148,271,0,0,1,6,1610612744,1610612738,203110,NA,1627759,4,2,150000
"0042100405","NBA",1,17,"10:10","[BOS] Smart Driving Layup Shot: Missed",32,36,2,0,6,2,1610612738,1610612738,203935,NA,NA,4,2,170000
"0042100405","NBA",1,18,"10:09","[BOS] Williams III Rebound (Off:1 Def:0)",32,36,1,0,0,4,1610612738,1610612738,1629057,NA,NA,4,2,180000
"0042100405","NBA",1,32,"10:08","[BOS] Williams III Tip Layup Shot: Missed",-34,14,2,0,97,2,1610612738,1610612738,1629057,NA,NA,4,2,185000
"0042100405","NBA",1,33,"10:07","[GSW] Green Rebound (Off:0 Def:1)",-34,14,0,0,0,4,1610612744,1610612738,203110,NA,NA,4,2,187500
"0042100405","NBA",1,19,"10:01","[GSW 6-2] Curry Running Finger Roll Layup Shot: Made (2 PTS) Assist: Green (2 AST)",-40,28,2,1,76,1,1610612744,1610612744,201939,203110,NA,6,2,190000
"0042100405","NBA",1,21,"09:44","[BOS 4-6] Williams III Alley Oop Layup shot: Made (2 PTS) Assist: Brown (1 AST)",-4,38,2,0,43,1,1610612738,1610612738,1629057,1627759,NA,6,4,210000
"0042100405","NBA",1,23,"09:31","[GSW 8-4] Green Cutting Layup Shot: Made (2 PTS) Assist: Curry (1 AST)",-44,14,2,0,98,1,1610612744,1610612744,203110,201939,NA,8,4,230000
"0042100405","NBA",1,25,"09:22","[BOS] Brown Turnover : Lost Ball (1 TO) Steal:Wiggins (1 ST)",152,225,1,0,2,5,1610612738,1610612738,1627759,NA,203952,8,4,250000
"0042100405","NBA",1,27,"09:22","[BOS] Tatum Foul: Personal Take (1 PF) (M Davis)",-77,424,0,0,28,6,1610612738,1610612744,1628369,NA,203952,8,4,270000
"0042100405","NBA",1,29,"09:09","[GSW 10-4] Wiggins Step Back Jump shot: Made (4 PTS)",105,105,2,0,80,1,1610612744,1610612744,203952,NA,NA,10,4,290000
"0042100405","NBA",1,31,"09:01","Stoppage: Out-of-Bounds",0,-80,0,0,3,20,0,1610612738,0,NA,NA,10,4,310000
"0042100405","NBA",1,34,"08:45","[BOS] Brown 3pt Shot: Missed",-203,176,3,0,1,2,1610612738,1610612738,1627759,NA,NA,10,4,320000
"0042100405","NBA",1,35,"08:43","[GSW] Porter Jr. Rebound (Off:0 Def:1)",-203,176,0,0,0,4,1610612744,1610612738,203490,NA,NA,10,4,330000
"0042100405","NBA",1,36,"08:22","[GSW] Wiggins 3pt Shot: Missed",216,155,3,0,1,2,1610612744,1610612744,203952,NA,NA,10,4,340000
"0042100405","NBA",1,37,"08:19","[BOS] Brown Rebound (Off:0 Def:1)",216,155,0,0,0,4,1610612738,1610612744,1627759,NA,NA,10,4,350000
"0042100405","NBA",1,38,"08:13","[BOS] Brown Driving Layup Shot: Missed",-60,43,2,0,6,2,1610612738,1610612738,1627759,NA,NA,10,4,360000
"0042100405","NBA",1,39,"08:11","[GSW] Curry Rebound (Off:0 Def:1)",-60,43,0,0,0,4,1610612744,1610612738,201939,NA,NA,10,4,370000
"0042100405","NBA",1,40,"07:59","[GSW] Thompson 3pt Shot: Missed",-180,172,3,0,1,2,1610612744,1610612744,202691,NA,NA,10,4,380000
"0042100405","NBA",1,41,"07:56","[BOS] Brown Rebound (Off:0 Def:2)",-180,172,0,0,0,4,1610612738,1610612744,1627759,NA,NA,10,4,390000
"0042100405","NBA",1,42,"07:41","[BOS] Brown Turnaround Jump Shot: Missed",-12,114,2,0,47,2,1610612738,1610612738,1627759,NA,203952,10,4,400000
"0042100405","NBA",1,44,"07:39","[GSW] Thompson Rebound (Off:0 Def:1)",-12,114,0,0,0,4,1610612744,1610612738,202691,NA,NA,10,4,420000
"0042100405","NBA",1,45,"07:28","[GSW 12-4] Green Driving Dunk Shot: Made (4 PTS)",10,9,2,0,9,1,1610612744,1610612744,203110,NA,NA,12,4,430000
"0042100405","NBA",1,46,"07:28","[BOS] Team Timeout : Regular",0,-80,0,0,1,9,1610612738,1610612738,1610612738,NA,NA,12,4,440000
"0042100405","NBA",1,48,"07:28","[GSW] Porter Jr. Substitution replaced by Looney",0,-80,0,0,0,8,1610612744,1610612738,203490,1626172,NA,12,4,450000
"0042100405","NBA",1,49,"07:28","[BOS] Williams III Substitution replaced by White",0,-80,0,0,0,8,1610612738,1610612738,1629057,1628401,NA,12,4,460000
"0042100405","NBA",1,52,"07:04","[BOS] Horford Driving Floating Bank Jump Shot: Missed",88,62,2,0,102,2,1610612738,1610612738,201143,NA,NA,12,4,490000
"0042100405","NBA",1,53,"07:02","[GSW] Wiggins Rebound (Off:0 Def:1)",88,62,0,0,0,4,1610612744,1610612738,203952,NA,NA,12,4,500000
