game_id,team_id,player_id,player_name,team_name,1pt_shooting_percentage,2pt_shooting_percentage,3pt_shooting_percentage,1pt_made,2pt_made,3pt_made,1pt_missed,2pt_missed,3pt_missed,1pt_total,2pt_total,3pt_total
g0042100302,1610612738,1629752,Juwan Morgan,Boston Celtics,50.0,0,0.0,1,0,0,1,0,1,2,0,1
g0042100302,1610612748,1628997,Caleb Martin,Miami Heat,0,33.33,50.0,0,2,1,0,4,1,0,6,2
g0042100302,1610612748,1629639,Tyler Herro,Miami Heat,100.0,62.5,0.0,1,5,0,0,3,3,1,8,3
g0042100302,1610612748,1629130,Duncan Robinson,Miami Heat,0,100.0,0.0,0,3,0,0,0,4,0,3,4
g0042100302,1610612748,200782,P.J. Tucker,Miami Heat,0.0,20.0,100.0,0,1,1,2,4,0,2,5,1
g0042100302,1610612738,1628369,Jayson Tatum,Boston Celtics,100.0,57.14,66.67,7,4,4,0,3,2,7,7,6
g0042100302,1610612748,203473,Dewayne Dedmon,Miami Heat,0,100.0,0,0,1,0,0,0,0,0,1,0
g0042100302,1610612748,202710,Jimmy Butler,Miami Heat,75.0,66.67,33.33,6,10,1,2,5,2,8,15,3
g0042100302,1610612738,1630174,Aaron Nesmith,Boston Celtics,0,0.0,0.0,0,0,0,0,1,2,0,1,2
g0042100302,1610612748,1628389,Bam Adebayo,Miami Heat,0.0,50.0,0,0,3,0,1,3,0,1,6,0
g0042100302,1610612738,1627759,Jaylen Brown,Boston Celtics,100.0,50.0,57.14,2,5,4,0,5,3,2,10,7
g0042100302,1610612748,203506,Victor Oladipo,Miami Heat,90.0,33.33,20.0,9,1,1,1,2,4,10,3,5
g0042100302,1610612738,1629684,Grant Williams,Boston Celtics,87.5,60.0,100.0,7,3,2,1,2,0,8,5,2
g0042100302,1610612738,1630202,Payton Pritchard,Boston Celtics,0,100.0,33.33,0,2,2,0,0,4,0,2,6
g0042100303,1610612738,203917,Nik Stauskas,Boston Celtics,0,0,100.0,0,0,1,0,0,0,0,0,1
